,Nightlord,Shifting Earth,Spawn Point,Special Event,Night 1 Boss,Night 2 Boss,Extra Night Boss,Night 1 Circle,Night 2 Circle,Castle,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Minor Base,Minor Base,Minor Base,Minor Base,Minor Base,Minor Base,Minor Base,Minor Base,Minor Base,Minor Base,Minor Base,Evergaol,Evergaol,Evergaol,Evergaol,Evergaol,Evergaol,Evergaol,Arena Boss,Field Boss,Field Boss,Field Boss,Field Boss,Field Boss,Field Boss,Field Boss,Field Boss,Field Boss,Field Boss,Field Boss,Rotted Woods,Rotted Woods,Rotted Woods,Rotted Woods,Rotted Woods,Rotted Woods,Rotted Woods,Rotted Woods,Rot Blessing,Frenzy Tower,Scale-Bearing Merchant
246,Caligo,Default,East of Cavalry Bridge,,Grafted Monarch,Dancer of the Boreal Valley,,Northwest Corner,South of Castle,Banished Knights,Fort - Abductor Virgin,Camp - Leonine Misbegotten,Ruins - Perfumer,Ruins - Perfumer,Ruins - Perfumer,Great Church - Fire Monk,Camp - Royal Army Knights,Ruins - Ancient Heroes of Zamor,Fort - Guardian Golem,Ruins - Erdtree Burial Watchdogs,Fort - Abductor Virgin,Great Church - Oracle Envoys,Camp - Leonine Misbegotten,Camp - Royal Army Knights,Camp - Banished Knights,Camp - Leonine Misbegotten,Small Camp - Caravans,Church - Normal,Small Camp - Soldiers,Sorcerer's Rise - Above Door,Small Camp - Dogs,Township - Township,Small Camp - Foot Soldiers,Church - Normal,Small Camp - Soldiers,Small Camp - Soldiers,Church - Normal,Crystalians,Banished Knights,Godskin Apostle,Dragonkin Soldier,Beastly Brigade,Stoneskin Lords,Beastmen of Farum Azula,Grafted Scion,Ulcerated Tree Spirit,Golden Hippopotamus,Royal Carian Knight,Miranda Blossom,Royal Revenant,Red Wolf,Erdtree Avatar,Demi-Human Queen,Magma Wyrm,Black Knife Assassin,Draconic Tree Sentinel,,,,,,,,,,,
247,Caligo,Default,East of Cavalry Bridge,,The Duke's Dear Freja,Draconic Tree Sentinel and Royal Cavalrymen,,West Stormhill Graveyard,Northeast Corner,Banished Knights,Camp - Redmane Knights,Ruins - Albinauric Archers,Great Church - Oracle Envoys,Camp - Banished Knights,Camp - Redmane Knights,Fort - Abductor Virgin,Ruins - Runebear,Ruins - Albinauric Archers,Fort - Lordsworn Captain,Ruins - Albinauric Archers,Camp - Elder Lion,Great Church - Fire Monk,Ruins - Beastmen of Farum Azula,Ruins - Runebear,Ruins - Beastmen of Farum Azula,Ruins - Runebear,Church - Normal,Small Camp - Soldiers,Sorcerer's Rise - Unlit Candle,Sorcerer's Rise - Fleeing Stump,Church - Normal,Small Camp - Caravans,Small Camp - Caravans and Nobles,Church - Normal,Small Camp - Caravans,Small Camp - Dogs and Soldiers,Small Camp - Soldiers,Banished Knights,Beastmen of Farum Azula,Stoneskin Lords,Godskin Noble,Nox Warriors,Dragonkin Soldier,Grave Warden Duelist,Red Wolf,Erdtree Avatar,Leonine Misbegotten,Golden Hippopotamus,Ulcerated Tree Spirit,Night's Cavalry,Royal Carian Knight,Elder Lion,Tree Sentinel,Miranda Blossom,Ancestor Spirit,Black Knife Assassin,,,,,,,,,,,
248,Caligo,Default,East of Cavalry Bridge,,Tibia Mariner,Draconic Tree Sentinel and Royal Cavalrymen,,Northeast Corner,Northwest of Castle,Banished Knights,Camp - Flame Chariots,Ruins - Depraved Perfumer,Ruins - Beastmen of Farum Azula,Great Church - Guardian Golem,Fort - Lordsworn Captain,Ruins - Depraved Perfumer,Camp - Leonine Misbegotten,Camp - Banished Knights,Fort - Crystalians,Ruins - Erdtree Burial Watchdogs,Ruins - Beastmen of Farum Azula,Ruins - Beastmen of Farum Azula,Ruins - Erdtree Burial Watchdogs,Ruins - Beastmen of Farum Azula,Fort - Lordsworn Captain,Great Church - Oracle Envoys,Church - Normal,Sorcerer's Rise - Pool Reflection,Small Camp - Guilty,Township - Township,Church - Normal,Church - Normal,Church - Rats,Small Camp - Caravans,Small Camp - Misbegotten,Sorcerer's Rise - Above Door,Small Camp - Misbegotten,Omen,Bloodhound Knight,Nox Warriors,Beastly Brigade,Godskin Apostle,Godskin Noble,Crystalians,Royal Revenant,Ulcerated Tree Spirit,Night's Cavalry,Bell Bearing Hunter,Leonine Misbegotten,Miranda Blossom,Elder Lion,Tree Sentinel,Ancient Hero of Zamor,Magma Wyrm,Black Blade Kindred,Golden Hippopotamus,,,,,,,,,,,Southwest Corner
249,Caligo,Default,Below Summonwater Hawk,Day 2 Libra Curse,Smelter Demon,Dancer of the Boreal Valley,,South Lake,Northwest of Castle,Banished Knights,Fort - Abductor Virgin,Fort - Abductor Virgin,Ruins - Erdtree Burial Watchdogs,Ruins - Battlemages,Great Church - Fire Monk,Camp - Leonine Misbegotten,Fort - Abductor Virgin,Camp - Redmane Knights,Ruins - Erdtree Burial Watchdogs,Camp - Leonine Misbegotten,Camp - Banished Knights,Great Church - Mausoleum Knight,Fort - Crystalians,Ruins - Perfumer,Great Church - Mausoleum Knight,Camp - Banished Knights,Church - Normal,Church - Normal,Small Camp - Dogs,Sorcerer's Rise - Above Door,Small Camp - Misbegotten,Small Camp - Caravans,Small Camp - Caravans,Sorcerer's Rise - Missing Statue,Small Camp - Shack,Small Camp - Misbegotten,Church - Normal,Banished Knights,Bloodhound Knight,Dragonkin Soldier,Omen,Beastmen of Farum Azula,Crucible Knight with Sword,Nox Warriors,Black Knife Assassin,Death Rite Bird,Ancestor Spirit,Night's Cavalry,Demi-Human Queen,Red Wolf,Magma Wyrm,Miranda Blossom,Bell Bearing Hunter,Elder Lion,Golden Hippopotamus,Black Blade Kindred,,,,,,,,,,,
250,Caligo,Default,Minor Erdtree,,Grafted Monarch,Draconic Tree Sentinel and Royal Cavalrymen,,South of Castle,Northeast Corner,Trolls,Camp - Leonine Misbegotten,Great Church - Oracle Envoys,Ruins - Wormface,Fort - Crystalians,Fort - Crystalians,Great Church - Fire Monk,Ruins - Depraved Perfumer,Camp - Frenzied Flame Troll,Ruins - Depraved Perfumer,Fort - Guardian Golem,Great Church - Oracle Envoys,Ruins - Wormface,Ruins - Beastmen of Farum Azula,Camp - Elder Lion,Ruins - Wormface,Ruins - Beastmen of Farum Azula,Church - Normal,Township - Township,Small Camp - Caravans,Sorcerer's Rise - Missing Statue,Church - Normal,Small Camp - Dogs,Small Camp - Caravans,Small Camp - Rats and Demi-Humans,Sorcerer's Rise - Unlit Candle,Church - Normal,Small Camp - Dogs and Soldiers,Godskin Apostle,Omen,Nox Warriors,Grave Warden Duelist,Bloodhound Knight,Crystalians,Godskin Noble,Bell Bearing Hunter,Death Rite Bird,Miranda Blossom,Ulcerated Tree Spirit,Black Knife Assassin,Demi-Human Queen,Ancient Hero of Zamor,Ancestor Spirit,Black Blade Kindred,Grafted Scion,Leonine Misbegotten,Flying Dragon,,,,,,,,,,,
251,Caligo,Default,Minor Erdtree,,Ulcerated Tree Spirit,Dancer of the Boreal Valley,,Northeast of Lake,Southwest Corner,Trolls,Ruins - Albinaurics,Ruins - Depraved Perfumer,Ruins - Runebear,Camp - Flame Chariots,Fort - Crystalians,Ruins - Runebear,Ruins - Albinaurics,Great Church - Guardian Golem,Camp - Frenzied Flame Troll,Fort - Abductor Virgin,Great Church - Mausoleum Knight,Fort - Crystalians,Camp - Elder Lion,Ruins - Runebear,Camp - Elder Lion,Great Church - Guardian Golem,Small Camp - Caravans,Sorcerer's Rise - Fake Building,Church - Normal,Small Camp - Guilty,Small Camp - Guilty,Church - Normal,Small Camp - Dogs,Small Camp - Foot Soldiers,Small Camp - Dogs,Small Camp - Dogs,Church - Normal,Crystalians,Godskin Noble,Bloodhound Knight,Beastmen of Farum Azula,Grave Warden Duelist,Nox Warriors,Crucible Knight with Spear,Leonine Misbegotten,Magma Wyrm,Night's Cavalry,Ancestor Spirit,Erdtree Avatar,Golden Hippopotamus,Tree Sentinel,Grafted Scion,Miranda Blossom,Bell Bearing Hunter,Elder Lion,Ancient Hero of Zamor,,,,,,,,,,,
252,Caligo,Default,Minor Erdtree,Day 2 Maris Bubbles,Grafted Monarch,Godskin Duo,,South of Castle,Northeast Corner,Crucible Knights,Fort - Crystalians,Fort - Abductor Virgin,Ruins - Wormface,Ruins - Ancient Heroes of Zamor,Camp - Leonine Misbegotten,Camp - Elder Lion,Fort - Crystalians,Ruins - Albinauric Archers,Camp - Elder Lion,Fort - Abductor Virgin,Great Church - Mausoleum Knight,Ruins - Wormface,Camp - Flame Chariots,Camp - Leonine Misbegotten,Great Church - Fire Monk,Map Event - Summonwater,Sorcerer's Rise - Fog Door,Sorcerer's Rise - Windy Trees,Church - Normal,Township - Township,Small Camp - Guilty,Church - Normal,Small Camp - Caravans,Small Camp - Wandering Nobles,Church - Normal,Small Camp - Caravans,Small Camp - Dogs and Soldiers,Godskin Noble,Omen,Crucible Knight with Sword,Stoneskin Lords,Grave Warden Duelist,Nox Warriors,Godskin Duo,Red Wolf,Death Rite Bird,Elder Lion,Magma Wyrm,Golden Hippopotamus,Royal Revenant,Night's Cavalry,Black Blade Kindred,Black Knife Assassin,Ancestor Spirit,Ulcerated Tree Spirit,Ancient Hero of Zamor,,,,,,,,,,,
253,Caligo,Default,Stormhill South of Gate,,Smelter Demon,Dancer of the Boreal Valley,,Northwest Corner,Southwest Mistwood,Trolls,Camp - Royal Army Knights,Fort - Guardian Golem,Great Church - Guardian Golem,Camp - Flame Chariots,Fort - Abductor Virgin,Ruins - Ancient Heroes of Zamor,Ruins - Depraved Perfumer,Great Church - Mausoleum Knight,Ruins - Wormface,Fort - Abductor Virgin,Ruins - Wormface,Camp - Banished Knights,Fort - Abductor Virgin,Camp - Flame Chariots,Camp - Banished Knights,Ruins - Ancient Heroes of Zamor,Small Camp - Caravans,Church - Normal,Small Camp - Foot Soldiers,Small Camp - Misbegotten,Church - Normal,Sorcerer's Rise - Fleeing Stump,Small Camp - Caravans,Township - Township,Church - Normal,Sorcerer's Rise - Missing Statue,Small Camp - Dogs,Crucible Knight with Spear,Beastmen of Farum Azula,Stoneskin Lords,Crucible Knight with Sword,Crystalians,Beastly Brigade,Ancient Dragon,Grafted Scion,Erdtree Avatar,Ancient Hero of Zamor,Draconic Tree Sentinel,Flying Dragon,Black Blade Kindred,Golden Hippopotamus,Demi-Human Queen,Ancestor Spirit,Leonine Misbegotten,Black Knife Assassin,Night's Cavalry,,,,,,,,,,,
254,Caligo,Default,West of Warmaster's Shack,,Tibia Mariner,Godskin Duo,,South Lake,Northeast Corner,Trolls,Camp - Redmane Knights,Camp - Frenzied Flame Troll,Fort - Guardian Golem,Great Church - Mausoleum Knight,Fort - Guardian Golem,Ruins - Depraved Perfumer,Ruins - Perfumer,Ruins - Perfumer,Ruins - Albinaurics,Great Church - Fire Monk,Great Church - Mausoleum Knight,Ruins - Albinaurics,Ruins - Albinaurics,Camp - Frenzied Flame Troll,Fort - Abductor Virgin,Camp - Royal Army Knights,Small Camp - Caravans,Small Camp - Soldiers,Church - Normal,Small Camp - Dogs,Small Camp - Rats and Demi-Humans,Sorcerer's Rise - Withered Trees,Church - Normal,Sorcerer's Rise - Imp Statue,Small Camp - Caravans,Church - Normal,Sorcerer's Rise - Missing Statue,Omen,Godskin Apostle,Banished Knights,Dragonkin Soldier,Stoneskin Lords,Beastly Brigade,Death Rite Bird,Bell Bearing Hunter,Tree Sentinel,Night's Cavalry,Ancient Hero of Zamor,Magma Wyrm,Red Wolf,Ulcerated Tree Spirit,Leonine Misbegotten,Draconic Tree Sentinel,Black Knife Assassin,Golden Hippopotamus,Royal Carian Knight,,,,,,,,,,,
255,Caligo,Default,Northeast of Saintsbridge,Day 2 Maris Bubbles,The Duke's Dear Freja,Draconic Tree Sentinel and Royal Cavalrymen,,Northwest Corner,Northwest of Castle,Banished Knights,Great Church - Guardian Golem,Ruins - Erdtree Burial Watchdogs,Fort - Crystalians,Camp - Frenzied Flame Troll,Ruins - Wormface,Fort - Abductor Virgin,Camp - Leonine Misbegotten,Great Church - Mausoleum Knight,Fort - Crystalians,Camp - Frenzied Flame Troll,Ruins - Runebear,Ruins - Erdtree Burial Watchdogs,Camp - Frenzied Flame Troll,Camp - Flame Chariots,Great Church - Guardian Golem,Fort - Crystalians,Small Camp - Soldiers,Sorcerer's Rise - Fog Door,Small Camp - Caravans,Church - Normal,Sorcerer's Rise - Unlit Candle,Small Camp - Caravans,Church - Normal,Church - Normal,Small Camp - Soldiers,Small Camp - Dogs,Small Camp - Shack,Nox Warriors,Stoneskin Lords,Beastmen of Farum Azula,Dragonkin Soldier,Banished Knights,Godskin Apostle,Beastly Brigade,Bell Bearing Hunter,Death Rite Bird,Red Wolf,Flying Dragon,Ancient Hero of Zamor,Miranda Blossom,Erdtree Avatar,Golden Hippopotamus,Leonine Misbegotten,Black Blade Kindred,Royal Carian Knight,Demi-Human Queen,,,,,,,,,,,
256,Caligo,Default,West of Warmaster's Shack,,Ulcerated Tree Spirit,Godskin Duo,,South of Castle,East of Saintsbridge,Banished Knights,Camp - Redmane Knights,Ruins - Erdtree Burial Watchdogs,Fort - Lordsworn Captain,Great Church - Guardian Golem,Ruins - Erdtree Burial Watchdogs,Great Church - Fire Monk,Fort - Lordsworn Captain,Camp - Flame Chariots,Ruins - Wormface,Camp - Flame Chariots,Great Church - Fire Monk,Ruins - Wormface,Ruins - Albinauric Archers,Fort - Guardian Golem,Fort - Lordsworn Captain,Camp - Royal Army Knights,Church - Normal,Small Camp - Misbegotten,Township - Township,Small Camp - Caravans,Small Camp - Shack,Small Camp - Misbegotten,Church - Normal,Small Camp - Soldiers,Small Camp - Soldiers,Sorcerer's Rise - Above Door,Church - Normal,Crystalians,Godskin Duo,Godskin Apostle,Banished Knights,Omen,Beastmen of Farum Azula,Crucible Knight with Sword,Bell Bearing Hunter,Tree Sentinel,Death Rite Bird,Night's Cavalry,Flying Dragon,Golden Hippopotamus,Elder Lion,Ancient Hero of Zamor,Leonine Misbegotten,Draconic Tree Sentinel,Red Wolf,Magma Wyrm,,,,,,,,,,,
257,Caligo,Default,Southeast of Lake,Day 1 Maris Bubbles,The Duke's Dear Freja,Dancer of the Boreal Valley,,Northwest Corner,Northwest Lake,Crucible Knights,Great Church - Fire Monk,Ruins - Albinaurics,Ruins - Albinaurics,Camp - Redmane Knights,Camp - Leonine Misbegotten,Ruins - Albinaurics,Fort - Guardian Golem,Fort - Crystalians,Great Church - Mausoleum Knight,Fort - Guardian Golem,Camp - Redmane Knights,Camp - Flame Chariots,Ruins - Erdtree Burial Watchdogs,Ruins - Wormface,Ruins - Albinaurics,Fort - Crystalians,Small Camp - Guilty,Church - Normal,Small Camp - Dogs,Small Camp - Dogs,Church - Normal,Small Camp - Wandering Nobles,Small Camp - Guilty,Sorcerer's Rise - Fog Door,Small Camp - Caravans,Church - Normal,Small Camp - Dogs,Dragonkin Soldier,Omen,Ancient Dragon,Stoneskin Lords,Beastmen of Farum Azula,Godskin Noble,Nox Warriors,Leonine Misbegotten,Death Rite Bird,Grafted Scion,Erdtree Avatar,Royal Revenant,Tree Sentinel,Night's Cavalry,Flying Dragon,Draconic Tree Sentinel,Red Wolf,Golden Hippopotamus,Miranda Blossom,,,,,,,,,,,
258,Caligo,Default,Above Stormhill Tunnel Entrance,,Tibia Mariner,Draconic Tree Sentinel and Royal Cavalrymen,,Northeast Corner,South Lake,Trolls,Ruins - Ancient Heroes of Zamor,Ruins - Albinaurics,Great Church - Oracle Envoys,Fort - Abductor Virgin,Ruins - Wormface,Camp - Frenzied Flame Troll,Camp - Flame Chariots,Camp - Frenzied Flame Troll,Ruins - Albinaurics,Fort - Crystalians,Ruins - Ancient Heroes of Zamor,Ruins - Albinaurics,Great Church - Guardian Golem,Camp - Royal Army Knights,Ruins - Albinaurics,Fort - Abductor Virgin,Church - Normal,Small Camp - Dogs and Soldiers,Small Camp - Soldiers,Small Camp - Foot Soldiers,Church - Normal,Small Camp - Dogs and Soldiers,Sorcerer's Rise - Windy Trees,Small Camp - Soldiers,Small Camp - Caravans,Sorcerer's Rise - Withered Trees,Church - Normal,Nox Warriors,Omen,Grave Warden Duelist,Banished Knights,Stoneskin Lords,Godskin Noble,Dragonkin Soldier,Leonine Misbegotten,Death Rite Bird,Flying Dragon,Red Wolf,Bell Bearing Hunter,Ancestor Spirit,Demi-Human Queen,Golden Hippopotamus,Black Blade Kindred,Elder Lion,Ancient Hero of Zamor,Night's Cavalry,,,,,,,,,,,
259,Caligo,Default,Above Stormhill Tunnel Entrance,Walking Mausoleum,Tibia Mariner,Dancer of the Boreal Valley,,Northeast Corner,Southwest Mistwood,Banished Knights,Ruins - Sanguine Noble,Ruins - Sanguine Noble,Fort - Crystalians,Great Church - Oracle Envoys,Camp - Flame Chariots,Ruins - Runebear,Ruins - Battlemages,Great Church - Guardian Golem,Camp - Banished Knights,Fort - Crystalians,Map Event - West Mistwood,Camp - Banished Knights,Fort - Lordsworn Captain,Camp - Leonine Misbegotten,Fort - Crystalians,Camp - Banished Knights,Small Camp - Caravans,Township - Township,Sorcerer's Rise - Withered Trees,Small Camp - Foot Soldiers,Church - Normal,Church - Normal,Small Camp - Guilty,Small Camp - Guilty,Small Camp - Misbegotten,Church - Normal,Small Camp - Misbegotten,Crucible Knight with Sword,Nox Warriors,Beastly Brigade,Godskin Noble,Crystalians,Stoneskin Lords,Beastmen of Farum Azula,Bell Bearing Hunter,Erdtree Avatar,Ancient Hero of Zamor,Death Rite Bird,Draconic Tree Sentinel,Leonine Misbegotten,Elder Lion,Royal Revenant,Black Blade Kindred,Miranda Blossom,Black Knife Assassin,Flying Dragon,,,,,,,,,,,Northwest Corner
260,Caligo,Mountaintop,Minor Erdtree,Day 2 Maris Bubbles,Ulcerated Tree Spirit,Godskin Duo,,Southwest Mistwood,Southeast Mountaintop,Crucible Knights,Great Church - Oracle Envoys,Great Church - Fire Monk,Ruins - Albinaurics,,,,,Camp - Flame Chariots,Ruins - Beastmen of Farum Azula,Fort - Crystalians,Camp - Royal Army Knights,Camp - Royal Army Knights,Great Church - Oracle Envoys,Fort - Abductor Virgin,Fort - Abductor Virgin,Ruins - Albinaurics,Small Camp - Dogs,Small Camp - Soldiers,Church - Normal,,,Church - Normal,Church - Normal,Small Camp - Demi-Humans,Sorcerer's Rise - Fog Door,Small Camp - Soldiers,Small Camp - Dogs,Nox Warriors,,,,Godskin Apostle,Stoneskin Lords,Omen,Red Wolf,Bell Bearing Hunter,Demi-Human Queen,Black Blade Kindred,,,,,Miranda Blossom,Ancestor Spirit,Grafted Scion,Erdtree Avatar,,,,,,,,,,,
261,Caligo,Mountaintop,East of Cavalry Bridge,,Smelter Demon,Dancer of the Boreal Valley,,South Lake,Southeast Mountaintop,Trolls,Fort - Crystalians,Ruins - Albinauric Archers,Great Church - Fire Monk,,,,,Camp - Banished Knights,Fort - Guardian Golem,Ruins - Albinauric Archers,Ruins - Albinauric Archers,Ruins - Erdtree Burial Watchdogs,Great Church - Mausoleum Knight,Camp - Redmane Knights,Camp - Banished Knights,Ruins - Erdtree Burial Watchdogs,Small Camp - Dogs and Soldiers,Church - Normal,Church - Normal,,,Sorcerer's Rise - Missing Statue,Small Camp - Foot Soldiers,Church - Normal,Sorcerer's Rise - Withered Trees,Small Camp - Soldiers,Township - Township,Godskin Apostle,,,,Nox Warriors,Banished Knights,Beastly Brigade,Royal Revenant,Ancestor Spirit,Elder Lion,Flying Dragon,,,,,Tree Sentinel,Ancient Hero of Zamor,Grafted Scion,Black Blade Kindred,,,,,,,,,,,
262,Caligo,Mountaintop,Northeast of Saintsbridge,Day 2 Libra Curse,Grafted Monarch,Draconic Tree Sentinel and Royal Cavalrymen,,Northwest Mistwood Pond,Southeast Mountaintop,Crucible Knights,Camp - Redmane Knights,Camp - Elder Lion,Ruins - Erdtree Burial Watchdogs,,,,,Ruins - Erdtree Burial Watchdogs,Fort - Lordsworn Captain,Fort - Guardian Golem,Great Church - Guardian Golem,Ruins - Erdtree Burial Watchdogs,Ruins - Sanguine Noble,Camp - Elder Lion,Great Church - Oracle Envoys,Camp - Elder Lion,Church - Normal,Church - Normal,Small Camp - Misbegotten,,,Small Camp - Guilty,Small Camp - Caravans,Small Camp - Guilty,Church - Normal,Sorcerer's Rise - Fog Door,Small Camp - Nobles and Soldiers,Beastly Brigade,,,,Banished Knights,Crystalians,Godskin Apostle,Ancient Hero of Zamor,Black Blade Kindred,Black Knife Assassin,Royal Carian Knight,,,,,Erdtree Avatar,Royal Revenant,Elder Lion,Ulcerated Tree Spirit,,,,,,,,,,,
263,Caligo,Mountaintop,Minor Erdtree,,Tibia Mariner,Dancer of the Boreal Valley,,Northeast Corner,Southeast Mountaintop,Banished Knights,Camp - Elder Lion,Camp - Elder Lion,Ruins - Sanguine Noble,,,,,Fort - Lordsworn Captain,Great Church - Guardian Golem,Great Church - Fire Monk,Camp - Frenzied Flame Troll,Fort - Crystalians,Fort - Crystalians,Ruins - Perfumer,Great Church - Guardian Golem,Ruins - Sanguine Noble,Sorcerer's Rise - Fake Building,Small Camp - Soldiers,Church - Normal,,,Church - Normal,Township - Township,Small Camp - Wandering Nobles,Small Camp - Dogs and Soldiers,Church - Normal,Small Camp - Caravans,Godskin Apostle,,,,Beastly Brigade,Nox Warriors,Bloodhound Knight,Leonine Misbegotten,Death Rite Bird,Magma Wyrm,Golden Hippopotamus,,,,,Royal Carian Knight,Black Knife Assassin,Royal Revenant,Black Blade Kindred,,,,,,,,,,,South of Castle
264,Caligo,Mountaintop,Below Summonwater Hawk,,The Duke's Dear Freja,Draconic Tree Sentinel and Royal Cavalrymen,,Southwest Corner,Southeast Mountaintop,Trolls,Ruins - Battlemages,Camp - Royal Army Knights,Ruins - Battlemages,,,,,Ruins - Runebear,Camp - Elder Lion,Camp - Royal Army Knights,Ruins - Runebear,Fort - Crystalians,Ruins - Runebear,Great Church - Guardian Golem,Fort - Abductor Virgin,Great Church - Fire Monk,Small Camp - Soldiers,Small Camp - Soldiers,Sorcerer's Rise - Fleeing Stump,,,Church - Normal,Church - Normal,Small Camp - Dogs,Small Camp - Caravans and Nobles,Church - Normal,Small Camp - Dogs,Godskin Noble,,,,Stoneskin Lords,Beastmen of Farum Azula,Ancient Dragon,Grafted Scion,Magma Wyrm,Ancient Hero of Zamor,Ulcerated Tree Spirit,,,,,Black Knife Assassin,Royal Carian Knight,Tree Sentinel,Golden Hippopotamus,,,,,,,,,,,Castle Front
265,Caligo,Crater,West of Warmaster's Shack,,Grafted Monarch,Dancer of the Boreal Valley,,South Lake,North of Crater,Trolls,Fort - Crystalians,Fort - Guardian Golem,Ruins - Runebear,Great Church - Mausoleum Knight,,Great Church - Guardian Golem,,Ruins - Runebear,Great Church - Guardian Golem,Ruins - Depraved Perfumer,Fort - Guardian Golem,,,Camp - Banished Knights,,Camp - Redmane Knights,Sorcerer's Rise - Fog Door,Sorcerer's Rise - Unlit Candle,Church - Normal,,Small Camp - Shack,Small Camp - Dogs,Church - Normal,Small Camp - Caravans,Small Camp - Misbegotten,Church - Normal,,Godskin Apostle,,Banished Knights,,Stoneskin Lords,Beastmen of Farum Azula,,Bell Bearing Hunter,Royal Carian Knight,Tree Sentinel,Royal Revenant,Ulcerated Tree Spirit,,,Black Knife Assassin,Miranda Blossom,Death Rite Bird,,,,,,,,,,,,,
266,Caligo,Crater,Stormhill South of Gate,Day 1 Maris Bubbles,The Duke's Dear Freja,Dancer of the Boreal Valley,,West Stormhill Graveyard,North of Crater,Trolls,Ruins - Wormface,Camp - Royal Army Knights,Fort - Lordsworn Captain,Fort - Guardian Golem,,Camp - Elder Lion,,Great Church - Guardian Golem,Ruins - Wormface,Great Church - Guardian Golem,Camp - Royal Army Knights,,,Ruins - Perfumer,,Great Church - Oracle Envoys,Church - Normal,Small Camp - Dogs and Soldiers,Small Camp - Rats and Demi-Humans,,Small Camp - Dogs and Soldiers,Small Camp - Dogs,Church - Normal,Church - Normal,Sorcerer's Rise - Fog Door,Township - Township,,Crucible Knight with Sword,,Beastmen of Farum Azula,,Banished Knights,Godskin Duo,,Grafted Scion,Ancestor Spirit,Ancient Hero of Zamor,Erdtree Avatar,Draconic Tree Sentinel,,,Royal Revenant,Red Wolf,Flying Dragon,,,,,,,,,,,,,
267,Caligo,Crater,West of Warmaster's Shack,Walking Mausoleum,Smelter Demon,Godskin Duo,,South Lake,North of Crater,Banished Knights,Ruins - Battlemages,Fort - Lordsworn Captain,Great Church - Oracle Envoys,Fort - Guardian Golem,,Camp - Banished Knights,,Ruins - Battlemages,Fort - Lordsworn Captain,Great Church - Guardian Golem,Camp - Leonine Misbegotten,,,Map Event - Northeast Mistwood,,Ruins - Perfumer,Small Camp - Guilty,Church - Normal,Sorcerer's Rise - Above Door,,Church - Rats,Sorcerer's Rise - Fleeing Stump,Church - Normal,Church - Normal,Small Camp - Soldiers,Small Camp - Soldiers,,Grave Warden Duelist,,Nox Warriors,,Crystalians,Godskin Apostle,,Leonine Misbegotten,Magma Wyrm,Draconic Tree Sentinel,Royal Revenant,Miranda Blossom,,,Bell Bearing Hunter,Demi-Human Queen,Ulcerated Tree Spirit,,,,,,,,,,,,,
268,Caligo,Crater,Below Summonwater Hawk,,Ulcerated Tree Spirit,Draconic Tree Sentinel and Royal Cavalrymen,,South Lake,North of Crater,Banished Knights,Ruins - Erdtree Burial Watchdogs,Fort - Guardian Golem,Great Church - Guardian Golem,Camp - Leonine Misbegotten,,Ruins - Erdtree Burial Watchdogs,,Ruins - Erdtree Burial Watchdogs,Camp - Banished Knights,Great Church - Guardian Golem,Ruins - Wormface,,,Fort - Crystalians,,Fort - Guardian Golem,Small Camp - Caravans,Small Camp - Soldiers,Church - Normal,,Township - Township,Sorcerer's Rise - Fake Building,Church - Normal,Church - Normal,Church - Rats,Small Camp - Misbegotten,,Grave Warden Duelist,,Nox Warriors,,Banished Knights,Godskin Noble,,Red Wolf,Bell Bearing Hunter,Grafted Scion,Magma Wyrm,Black Knife Assassin,,,Tree Sentinel,Night's Cavalry,Black Blade Kindred,,,,,,,,,,,,,
269,Caligo,Crater,West of Warmaster's Shack,,Tibia Mariner,Draconic Tree Sentinel and Royal Cavalrymen,,Northeast Corner,North of Crater,Crucible Knights,Camp - Elder Lion,Great Church - Oracle Envoys,Fort - Abductor Virgin,Fort - Lordsworn Captain,,Ruins - Albinaurics,,Camp - Elder Lion,Great Church - Guardian Golem,Great Church - Guardian Golem,Ruins - Albinaurics,,,Camp - Frenzied Flame Troll,,Ruins - Erdtree Burial Watchdogs,Sorcerer's Rise - Pool Reflection,Church - Normal,Church - Normal,,Small Camp - Nobles and Soldiers,Small Camp - Soldiers,Sorcerer's Rise - Above Door,Church - Normal,Township - Township,Small Camp - Dogs and Soldiers,,Crystalians,,Godskin Apostle,,Grave Warden Duelist,Death Rite Bird,,Black Knife Assassin,Bell Bearing Hunter,Black Blade Kindred,Miranda Blossom,Magma Wyrm,,,Ancient Hero of Zamor,Royal Carian Knight,Royal Revenant,,,,,,,,,,,,,South of Castle
